epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2546.01,1.57722,1.82925,1.63821,0.8203,0.67299,0.76767,0.50834,1.61978,2.05075,1.77749,0.0256551,0.00855169,0.0256551,0.00855169,0.0256551,0.00855169,0.0256551,0.00855169
31,2629.43,1.55003,1.78336,1.62938,0.82385,0.6815,0.77462,0.53085,1.59418,2.01319,1.75974,0.0255053,0.00850175,0.0255053,0.00850175,0.0255053,0.00850175,0.0255053,0.00850175
32,2713.31,1.56598,1.80489,1.63716,0.80958,0.6794,0.76971,0.51046,1.60709,2.04333,1.75546,0.0253554,0.00845181,0.0253554,0.00845181,0.0253554,0.00845181,0.0253554,0.00845181
33,2796.8,1.5658,1.80776,1.64046,0.81896,0.68476,0.77757,0.52341,1.61721,2.00651,1.7843,0.0252056,0.00840187,0.0252056,0.00840187,0.0252056,0.00840187,0.0252056,0.00840187
34,2880.41,1.56269,1.78791,1.63042,0.83428,0.68829,0.77919,0.51884,1.60489,2.00948,1.75765,0.0250558,0.00835193,0.0250558,0.00835193,0.0250558,0.00835193,0.0250558,0.00835193
35,2963.81,1.55104,1.78918,1.63274,0.83829,0.68622,0.78443,0.53783,1.58525,1.97715,1.76501,0.024906,0.00830198,0.024906,0.00830198,0.024906,0.00830198,0.024906,0.00830198
36,3047.38,1.52986,1.73983,1.6166,0.81846,0.69724,0.78592,0.53715,1.59266,1.97334,1.76212,0.0247561,0.00825204,0.0247561,0.00825204,0.0247561,0.00825204,0.0247561,0.00825204
37,3131.24,1.5322,1.75975,1.62205,0.83361,0.69222,0.786,0.5259,1.5953,1.99795,1.75609,0.0246063,0.0082021,0.0246063,0.0082021,0.0246063,0.0082021,0.0246063,0.0082021
38,3214.85,1.54842,1.77182,1.62827,0.83086,0.69735,0.79285,0.54379,1.58339,1.97108,1.75504,0.0244565,0.00815216,0.0244565,0.00815216,0.0244565,0.00815216,0.0244565,0.00815216
39,3298.16,1.53212,1.75597,1.62103,0.81963,0.70011,0.7898,0.54276,1.5846,1.95703,1.7599,0.0243067,0.00810222,0.0243067,0.00810222,0.0243067,0.00810222,0.0243067,0.00810222
40,3381.62,1.52958,1.73763,1.6193,0.84371,0.70363,0.7926,0.5431,1.58186,1.94422,1.75652,0.0241568,0.00805228,0.0241568,0.00805228,0.0241568,0.00805228,0.0241568,0.00805228
41,3465.15,1.55804,1.77444,1.62861,0.84026,0.69467,0.79082,0.54672,1.58265,1.95519,1.75531,0.024007,0.00800233,0.024007,0.00800233,0.024007,0.00800233,0.024007,0.00800233
42,3548.69,1.53242,1.74435,1.61977,0.82273,0.70115,0.7907,0.54891,1.56038,1.95282,1.74482,0.0238572,0.00795239,0.0238572,0.00795239,0.0238572,0.00795239,0.0238572,0.00795239
43,3632.29,1.51938,1.7256,1.61535,0.84724,0.7014,0.79979,0.55012,1.57338,1.93116,1.7526,0.0237074,0.00790245,0.0237074,0.00790245,0.0237074,0.00790245,0.0237074,0.00790245
44,3715.51,1.53239,1.73461,1.62038,0.82767,0.71557,0.79981,0.55043,1.57285,1.92786,1.74938,0.0235575,0.00785251,0.0235575,0.00785251,0.0235575,0.00785251,0.0235575,0.00785251
45,3798.71,1.52885,1.72851,1.62236,0.84072,0.71,0.80186,0.55841,1.55697,1.92466,1.73633,0.0234077,0.00780257,0.0234077,0.00780257,0.0234077,0.00780257,0.0234077,0.00780257
46,3882.04,1.49732,1.6941,1.60635,0.83969,0.72035,0.80449,0.55675,1.55943,1.90553,1.73815,0.0232579,0.00775263,0.0232579,0.00775263,0.0232579,0.00775263,0.0232579,0.00775263
47,3965.18,1.53533,1.72901,1.62186,0.85059,0.70752,0.80179,0.55499,1.56432,1.89232,1.74925,0.0231081,0.00770268,0.0231081,0.00770268,0.0231081,0.00770268,0.0231081,0.00770268
48,4048.75,1.52163,1.72387,1.6139,0.85039,0.71283,0.80595,0.55609,1.56078,1.90671,1.74392,0.0229582,0.00765274,0.0229582,0.00765274,0.0229582,0.00765274,0.0229582,0.00765274
49,4131.85,1.51741,1.71209,1.61096,0.84387,0.71225,0.80057,0.55332,1.55223,1.89796,1.73727,0.0228084,0.0076028,0.0228084,0.0076028,0.0228084,0.0076028,0.0228084,0.0076028
50,4215.16,1.51609,1.70271,1.61083,0.84666,0.71286,0.80558,0.55954,1.55355,1.88379,1.74003,0.0226586,0.00755286,0.0226586,0.00755286,0.0226586,0.00755286,0.0226586,0.00755286
51,4298.55,1.49824,1.68314,1.60559,0.83308,0.72005,0.80713,0.56313,1.53998,1.88282,1.73047,0.0225088,0.00750292,0.0225088,0.00750292,0.0225088,0.00750292,0.0225088,0.00750292
52,4381.98,1.51037,1.70403,1.61158,0.84417,0.72145,0.80795,0.55352,1.54947,1.88532,1.73351,0.0223589,0.00745298,0.0223589,0.00745298,0.0223589,0.00745298,0.0223589,0.00745298
53,4465.11,1.50382,1.68347,1.60342,0.85269,0.71649,0.8059,0.56813,1.5393,1.87345,1.7295,0.0222091,0.00740303,0.0222091,0.00740303,0.0222091,0.00740303,0.0222091,0.00740303
54,4548.39,1.52625,1.72163,1.61736,0.8483,0.72136,0.80685,0.56028,1.53982,1.87318,1.72901,0.0220593,0.00735309,0.0220593,0.00735309,0.0220593,0.00735309,0.0220593,0.00735309
55,4631.67,1.50793,1.69981,1.61187,0.85715,0.71891,0.80983,0.5648,1.53936,1.8641,1.72843,0.0219095,0.00730315,0.0219095,0.00730315,0.0219095,0.00730315,0.0219095,0.00730315
56,4715.35,1.50823,1.68554,1.60574,0.8597,0.71722,0.80784,0.5695,1.52705,1.85693,1.72274,0.0217596,0.00725321,0.0217596,0.00725321,0.0217596,0.00725321,0.0217596,0.00725321
57,4798.76,1.4995,1.68146,1.6019,0.85559,0.72178,0.81173,0.57022,1.52848,1.8618,1.71844,0.0216098,0.00720327,0.0216098,0.00720327,0.0216098,0.00720327,0.0216098,0.00720327
58,4882.1,1.50219,1.68206,1.59937,0.84967,0.71842,0.81012,0.56562,1.52962,1.85979,1.72068,0.02146,0.00715333,0.02146,0.00715333,0.02146,0.00715333,0.02146,0.00715333
59,4965.59,1.49745,1.67898,1.60174,0.84732,0.72702,0.81544,0.57104,1.53123,1.84923,1.72262,0.0213102,0.00710339,0.0213102,0.00710339,0.0213102,0.00710339,0.0213102,0.00710339
60,5049.12,1.46972,1.63851,1.58563,0.85298,0.73127,0.81543,0.575,1.52055,1.84636,1.7131,0.0211603,0.00705344,0.0211603,0.00705344,0.0211603,0.00705344,0.0211603,0.00705344
61,5132.66,1.49099,1.65711,1.59536,0.8556,0.72699,0.8153,0.57508,1.51835,1.84163,1.71446,0.0210105,0.0070035,0.0210105,0.0070035,0.0210105,0.0070035,0.0210105,0.0070035
62,5216.12,1.49084,1.66282,1.59756,0.84876,0.72951,0.81437,0.57477,1.51777,1.83719,1.7149,0.0208607,0.00695356,0.0208607,0.00695356,0.0208607,0.00695356,0.0208607,0.00695356
63,5299.84,1.46568,1.61716,1.5787,0.86122,0.72942,0.81904,0.57941,1.51573,1.82942,1.71736,0.0207109,0.00690362,0.0207109,0.00690362,0.0207109,0.00690362,0.0207109,0.00690362
64,5383.13,1.49139,1.65634,1.59471,0.85811,0.73156,0.82049,0.58129,1.5154,1.82563,1.7155,0.020561,0.00685368,0.020561,0.00685368,0.020561,0.00685368,0.020561,0.00685368
65,5466.59,1.48273,1.63136,1.58552,0.85734,0.73558,0.82124,0.57658,1.51754,1.82189,1.71167,0.0204112,0.00680374,0.0204112,0.00680374,0.0204112,0.00680374,0.0204112,0.00680374
66,5550,1.46844,1.62254,1.59091,0.85407,0.73755,0.82044,0.57513,1.51884,1.82173,1.71504,0.0202614,0.00675379,0.0202614,0.00675379,0.0202614,0.00675379,0.0202614,0.00675379
67,5633.27,1.47159,1.63202,1.5888,0.84811,0.73741,0.82079,0.57922,1.51346,1.81873,1.71349,0.0201116,0.00670385,0.0201116,0.00670385,0.0201116,0.00670385,0.0201116,0.00670385
68,5716.7,1.49656,1.66382,1.60307,0.85371,0.738,0.82433,0.5831,1.51239,1.81284,1.71283,0.0199617,0.00665391,0.0199617,0.00665391,0.0199617,0.00665391,0.0199617,0.00665391
69,5800.32,1.45948,1.60203,1.58061,0.85914,0.7395,0.82562,0.5827,1.51037,1.80868,1.70976,0.0198119,0.00660397,0.0198119,0.00660397,0.0198119,0.00660397,0.0198119,0.00660397
70,5883.65,1.46953,1.61659,1.58648,0.85915,0.74563,0.82561,0.58244,1.50559,1.80894,1.70641,0.0196621,0.00655403,0.0196621,0.00655403,0.0196621,0.00655403,0.0196621,0.00655403
71,5967.3,1.46135,1.60721,1.5827,0.85653,0.74191,0.82582,0.58636,1.50491,1.80104,1.70831,0.0195123,0.00650409,0.0195123,0.00650409,0.0195123,0.00650409,0.0195123,0.00650409
72,6050.55,1.46166,1.61616,1.58556,0.85912,0.73784,0.82235,0.58509,1.50353,1.79991,1.70648,0.0193624,0.00645414,0.0193624,0.00645414,0.0193624,0.00645414,0.0193624,0.00645414
73,6134.15,1.47137,1.61562,1.58663,0.85727,0.74234,0.82444,0.58476,1.50212,1.79539,1.70524,0.0192126,0.0064042,0.0192126,0.0064042,0.0192126,0.0064042,0.0192126,0.0064042
74,6217.72,1.44822,1.58649,1.57465,0.85223,0.7417,0.82223,0.58552,1.49997,1.79289,1.70416,0.0190628,0.00635426,0.0190628,0.00635426,0.0190628,0.00635426,0.0190628,0.00635426
75,6301.29,1.46867,1.59931,1.58193,0.85581,0.73917,0.82195,0.58398,1.49993,1.78907,1.70336,0.018913,0.00630432,0.018913,0.00630432,0.018913,0.00630432,0.018913,0.00630432
76,6384.75,1.47385,1.61867,1.58905,0.85734,0.74098,0.82364,0.58779,1.49613,1.78282,1.70065,0.0187631,0.00625438,0.0187631,0.00625438,0.0187631,0.00625438,0.0187631,0.00625438
77,6468.12,1.46348,1.61573,1.58588,0.86057,0.73771,0.82424,0.5853,1.49634,1.7834,1.7,0.0186133,0.00620444,0.0186133,0.00620444,0.0186133,0.00620444,0.0186133,0.00620444
78,6551.57,1.46081,1.59355,1.5794,0.854,0.73898,0.82555,0.58681,1.49317,1.78107,1.69772,0.0184635,0.00615449,0.0184635,0.00615449,0.0184635,0.00615449,0.0184635,0.00615449
79,6634.91,1.46118,1.60108,1.58413,0.85069,0.74463,0.82696,0.5872,1.49318,1.77992,1.69735,0.0183137,0.00610455,0.0183137,0.00610455,0.0183137,0.00610455,0.0183137,0.00610455
80,6718.31,1.45925,1.58949,1.58233,0.8572,0.74656,0.82863,0.58987,1.49022,1.77569,1.69598,0.0181638,0.00605461,0.0181638,0.00605461,0.0181638,0.00605461,0.0181638,0.00605461
81,6801.68,1.43652,1.556,1.57336,0.86008,0.74741,0.82995,0.59242,1.48924,1.76844,1.69479,0.018014,0.00600467,0.018014,0.00600467,0.018014,0.00600467,0.018014,0.00600467
82,6885.24,1.45361,1.58269,1.57583,0.86523,0.74472,0.83021,0.59438,1.48754,1.76316,1.69256,0.0178642,0.00595473,0.0178642,0.00595473,0.0178642,0.00595473,0.0178642,0.00595473
83,6968.39,1.46829,1.61311,1.58782,0.86079,0.75076,0.83245,0.59465,1.48808,1.75979,1.69172,0.0177144,0.00590479,0.0177144,0.00590479,0.0177144,0.00590479,0.0177144,0.00590479
84,7051.45,1.45474,1.59084,1.58395,0.8601,0.75083,0.83232,0.59497,1.48768,1.75703,1.693,0.0175645,0.00585484,0.0175645,0.00585484,0.0175645,0.00585484,0.0175645,0.00585484
