epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
119,9964.19,1.38711,1.45517,1.54435,0.86713,0.76764,0.84552,0.60757,1.46326,1.68571,1.67245,0.0123207,0.00410689,0.0123207,0.00410689,0.0123207,0.00410689,0.0123207,0.00410689
120,10047.5,1.38234,1.45794,1.53804,0.86726,0.76753,0.84611,0.60767,1.4627,1.68428,1.67222,0.0121708,0.00405695,0.0121708,0.00405695,0.0121708,0.00405695,0.0121708,0.00405695
121,10131,1.39323,1.47006,1.54705,0.86679,0.76757,0.84612,0.60812,1.46243,1.68293,1.67185,0.012021,0.004007,0.012021,0.004007,0.012021,0.004007,0.012021,0.004007
122,10214.2,1.39623,1.47395,1.55014,0.86623,0.76904,0.8465,0.60833,1.46213,1.68112,1.67174,0.0118712,0.00395706,0.0118712,0.00395706,0.0118712,0.00395706,0.0118712,0.00395706
123,10297.2,1.39966,1.48084,1.55313,0.86586,0.76899,0.84663,0.60836,1.46183,1.67973,1.6713,0.0117214,0.00390712,0.0117214,0.00390712,0.0117214,0.00390712,0.0117214,0.00390712
124,10380.5,1.37849,1.44821,1.5428,0.86655,0.77054,0.84688,0.60865,1.46143,1.6783,1.67081,0.0115715,0.00385718,0.0115715,0.00385718,0.0115715,0.00385718,0.0115715,0.00385718
125,10463.7,1.40786,1.47976,1.55328,0.86642,0.77096,0.84704,0.60888,1.46103,1.67633,1.67042,0.0114217,0.00380724,0.0114217,0.00380724,0.0114217,0.00380724,0.0114217,0.00380724
126,10546.7,1.4091,1.48369,1.55273,0.86577,0.77053,0.84713,0.60899,1.46056,1.67501,1.66991,0.0112719,0.0037573,0.0112719,0.0037573,0.0112719,0.0037573,0.0112719,0.0037573
127,10629.9,1.36514,1.43324,1.53325,0.86746,0.77068,0.84747,0.60925,1.45996,1.67375,1.66933,0.0111221,0.00370735,0.0111221,0.00370735,0.0111221,0.00370735,0.0111221,0.00370735
128,10713.1,1.39719,1.47045,1.54751,0.86846,0.77021,0.84756,0.60929,1.45935,1.67259,1.66879,0.0109722,0.00365741,0.0109722,0.00365741,0.0109722,0.00365741,0.0109722,0.00365741
129,10796.3,1.38271,1.44615,1.5418,0.86832,0.76999,0.84789,0.60951,1.45871,1.67115,1.66834,0.0108224,0.00360747,0.0108224,0.00360747,0.0108224,0.00360747,0.0108224,0.00360747
130,10879.5,1.38442,1.44458,1.53973,0.8679,0.77026,0.84806,0.60948,1.45841,1.66989,1.66806,0.0106726,0.00355753,0.0106726,0.00355753,0.0106726,0.00355753,0.0106726,0.00355753
131,10962.6,1.38779,1.44421,1.53988,0.86763,0.77096,0.8484,0.6096,1.45813,1.66852,1.66754,0.0105228,0.00350759,0.0105228,0.00350759,0.0105228,0.00350759,0.0105228,0.00350759
132,11046.1,1.37576,1.43032,1.53973,0.86898,0.77123,0.84881,0.60992,1.4578,1.66701,1.66747,0.0103729,0.00345765,0.0103729,0.00345765,0.0103729,0.00345765,0.0103729,0.00345765
133,11129.3,1.39228,1.44806,1.53967,0.86843,0.77249,0.84894,0.61007,1.45732,1.66568,1.66702,0.0102231,0.0034077,0.0102231,0.0034077,0.0102231,0.0034077,0.0102231,0.0034077
134,11212.5,1.40651,1.46221,1.54956,0.87001,0.77221,0.84894,0.61021,1.45689,1.66485,1.66656,0.0100733,0.00335776,0.0100733,0.00335776,0.0100733,0.00335776,0.0100733,0.00335776
135,11295.6,1.38061,1.43819,1.5365,0.87134,0.7725,0.84898,0.61042,1.45646,1.66382,1.66647,0.00992346,0.00330782,0.00992346,0.00330782,0.00992346,0.00330782,0.00992346,0.00330782
136,11378.7,1.38035,1.42886,1.54005,0.8715,0.7728,0.84902,0.61041,1.45605,1.66235,1.66612,0.00977364,0.00325788,0.00977364,0.00325788,0.00977364,0.00325788,0.00977364,0.00325788
137,11461.7,1.37724,1.43246,1.5409,0.87257,0.77271,0.84924,0.6108,1.45577,1.66137,1.66589,0.00962381,0.00320794,0.00962381,0.00320794,0.00962381,0.00320794,0.00962381,0.00320794
138,11544.8,1.38897,1.44331,1.54619,0.87163,0.77377,0.84926,0.61077,1.45554,1.6602,1.6657,0.00947399,0.003158,0.00947399,0.003158,0.00947399,0.003158,0.00947399,0.003158
139,11627.7,1.37794,1.4364,1.54035,0.87119,0.77448,0.84959,0.61096,1.45526,1.65933,1.66541,0.00932416,0.00310805,0.00932416,0.00310805,0.00932416,0.00310805,0.00932416,0.00310805
140,11711.1,1.38453,1.43474,1.54157,0.87233,0.77303,0.84956,0.61095,1.45493,1.65802,1.66507,0.00917434,0.00305811,0.00917434,0.00305811,0.00917434,0.00305811,0.00917434,0.00305811
141,11794.4,1.38113,1.43549,1.54364,0.87127,0.77307,0.84948,0.61117,1.45445,1.65727,1.66457,0.00902451,0.00300817,0.00902451,0.00300817,0.00902451,0.00300817,0.00902451,0.00300817
142,11877.7,1.37608,1.41789,1.5356,0.8682,0.77515,0.84974,0.61133,1.45395,1.65617,1.66407,0.00887469,0.00295823,0.00887469,0.00295823,0.00887469,0.00295823,0.00887469,0.00295823
143,11960.6,1.37024,1.41699,1.53533,0.87149,0.77451,0.85013,0.61125,1.45366,1.655,1.66377,0.00872486,0.00290829,0.00872486,0.00290829,0.00872486,0.00290829,0.00872486,0.00290829
144,12043.9,1.36704,1.40681,1.533,0.87143,0.77483,0.8502,0.61131,1.45338,1.65416,1.6635,0.00857504,0.00285835,0.00857504,0.00285835,0.00857504,0.00285835,0.00857504,0.00285835
145,12127,1.36508,1.40693,1.52806,0.87225,0.77442,0.85024,0.61143,1.45324,1.65333,1.66316,0.00842521,0.0028084,0.00842521,0.0028084,0.00842521,0.0028084,0.00842521,0.0028084
146,12210.3,1.36956,1.40354,1.53224,0.87099,0.77521,0.85037,0.61158,1.45313,1.65222,1.66299,0.00827539,0.00275846,0.00827539,0.00275846,0.00827539,0.00275846,0.00827539,0.00275846
147,12293.8,1.35416,1.38853,1.52355,0.86909,0.77549,0.85025,0.61195,1.45291,1.6509,1.66257,0.00812556,0.00270852,0.00812556,0.00270852,0.00812556,0.00270852,0.00812556,0.00270852
148,12377.1,1.34592,1.38271,1.52336,0.86878,0.77593,0.8504,0.61241,1.45254,1.64981,1.66211,0.00797574,0.00265858,0.00797574,0.00265858,0.00797574,0.00265858,0.00797574,0.00265858
149,12460.3,1.34049,1.37074,1.51835,0.86829,0.77608,0.85059,0.6125,1.45214,1.64891,1.66204,0.00782591,0.00260864,0.00782591,0.00260864,0.00782591,0.00260864,0.00782591,0.00260864
150,12543.5,1.35431,1.38147,1.52294,0.86908,0.77611,0.8507,0.61259,1.45164,1.64802,1.66143,0.00767609,0.0025587,0.00767609,0.0025587,0.00767609,0.0025587,0.00767609,0.0025587
151,12626.5,1.35603,1.39379,1.53092,0.86804,0.77608,0.85098,0.61283,1.45146,1.64768,1.66118,0.00752626,0.00250875,0.00752626,0.00250875,0.00752626,0.00250875,0.00752626,0.00250875
152,12709.8,1.35683,1.38442,1.52604,0.86885,0.77526,0.85079,0.61284,1.45102,1.64724,1.66093,0.00737644,0.00245881,0.00737644,0.00245881,0.00737644,0.00245881,0.00737644,0.00245881
153,12792.7,1.35023,1.3782,1.52694,0.8689,0.7753,0.85114,0.61311,1.45095,1.6465,1.66077,0.00722661,0.00240887,0.00722661,0.00240887,0.00722661,0.00240887,0.00722661,0.00240887
154,12875.7,1.3589,1.3883,1.53099,0.86869,0.77589,0.85095,0.61341,1.45062,1.64562,1.66042,0.00707679,0.00235893,0.00707679,0.00235893,0.00707679,0.00235893,0.00707679,0.00235893
155,12958.8,1.35247,1.37181,1.52672,0.86997,0.77513,0.85133,0.61352,1.45039,1.64427,1.66011,0.00692696,0.00230899,0.00692696,0.00230899,0.00692696,0.00230899,0.00692696,0.00230899
156,13042.1,1.34448,1.35769,1.51742,0.87012,0.77474,0.85158,0.61345,1.45031,1.6443,1.65992,0.00677714,0.00225905,0.00677714,0.00225905,0.00677714,0.00225905,0.00677714,0.00225905
157,13125.3,1.33575,1.35025,1.52052,0.8699,0.7748,0.85183,0.61427,1.45005,1.64363,1.65966,0.00662731,0.0022091,0.00662731,0.0022091,0.00662731,0.0022091,0.00662731,0.0022091
158,13208.2,1.33775,1.3541,1.51739,0.87003,0.77461,0.85167,0.6137,1.45011,1.64347,1.65928,0.00647749,0.00215916,0.00647749,0.00215916,0.00647749,0.00215916,0.00647749,0.00215916
159,13291.3,1.34935,1.36879,1.52321,0.87086,0.77408,0.85174,0.61461,1.44951,1.64238,1.65884,0.00632766,0.00210922,0.00632766,0.00210922,0.00632766,0.00210922,0.00632766,0.00210922
160,13374.4,1.3544,1.37389,1.52707,0.87129,0.77367,0.85171,0.61491,1.4492,1.64256,1.65856,0.00617784,0.00205928,0.00617784,0.00205928,0.00617784,0.00205928,0.00617784,0.00205928
161,13457.5,1.33272,1.35521,1.5217,0.87296,0.77259,0.85189,0.6151,1.44891,1.64234,1.65833,0.00602801,0.00200934,0.00602801,0.00200934,0.00602801,0.00200934,0.00602801,0.00200934
162,13540.6,1.35169,1.37226,1.52864,0.87349,0.77215,0.85202,0.6148,1.44901,1.64258,1.65802,0.00587819,0.0019594,0.00587819,0.0019594,0.00587819,0.0019594,0.00587819,0.0019594
163,13623.5,1.3371,1.355,1.52026,0.8732,0.77167,0.85191,0.61513,1.44876,1.64298,1.65795,0.00572836,0.00190945,0.00572836,0.00190945,0.00572836,0.00190945,0.00572836,0.00190945
164,13706.9,1.34527,1.36157,1.52117,0.8735,0.77157,0.8521,0.61518,1.44869,1.64295,1.6577,0.00557854,0.00185951,0.00557854,0.00185951,0.00557854,0.00185951,0.00557854,0.00185951
165,13790.2,1.32579,1.33799,1.51302,0.87401,0.77136,0.85194,0.61523,1.44858,1.64221,1.65762,0.00542871,0.00180957,0.00542871,0.00180957,0.00542871,0.00180957,0.00542871,0.00180957
166,13873.1,1.33044,1.34381,1.51756,0.87469,0.77118,0.85199,0.61532,1.44828,1.64204,1.65707,0.00527889,0.00175963,0.00527889,0.00175963,0.00527889,0.00175963,0.00527889,0.00175963
167,13956.1,1.32628,1.33367,1.51366,0.87422,0.77139,0.85193,0.61512,1.44835,1.64155,1.65701,0.00512907,0.00170969,0.00512907,0.00170969,0.00512907,0.00170969,0.00512907,0.00170969
168,14039.5,1.33566,1.33708,1.51513,0.87439,0.77098,0.85214,0.61506,1.44841,1.6422,1.65696,0.00497924,0.00165975,0.00497924,0.00165975,0.00497924,0.00165975,0.00497924,0.00165975
169,14122.4,1.33371,1.34862,1.51946,0.87289,0.77218,0.85209,0.61507,1.44847,1.64203,1.65679,0.00482942,0.00160981,0.00482942,0.00160981,0.00482942,0.00160981,0.00482942,0.00160981
170,14206.1,1.33125,1.33018,1.51,0.87288,0.77237,0.85215,0.61547,1.44821,1.64117,1.65648,0.00467959,0.00155986,0.00467959,0.00155986,0.00467959,0.00155986,0.00467959,0.00155986
171,14289.1,1.3229,1.32674,1.51294,0.87382,0.77166,0.85235,0.61584,1.44796,1.63931,1.65634,0.00452977,0.00150992,0.00452977,0.00150992,0.00452977,0.00150992,0.00452977,0.00150992
172,14372.5,1.32605,1.31832,1.50764,0.87299,0.77181,0.85236,0.6158,1.4478,1.6389,1.65598,0.00437994,0.00145998,0.00437994,0.00145998,0.00437994,0.00145998,0.00437994,0.00145998
173,14455.4,1.33755,1.33855,1.51363,0.8735,0.77149,0.8525,0.61593,1.44782,1.63859,1.65572,0.00423012,0.00141004,0.00423012,0.00141004,0.00423012,0.00141004,0.00423012,0.00141004
174,14538.5,1.32488,1.325,1.51275,0.87417,0.77119,0.85247,0.61645,1.44785,1.63942,1.65573,0.00408029,0.0013601,0.00408029,0.0013601,0.00408029,0.0013601,0.00408029,0.0013601
175,14621.8,1.30052,1.28996,1.50271,0.87382,0.77148,0.85256,0.61665,1.44798,1.63969,1.65564,0.00393047,0.00131016,0.00393047,0.00131016,0.00393047,0.00131016,0.00393047,0.00131016
176,14705.2,1.33345,1.33408,1.51343,0.87508,0.77,0.85266,0.61668,1.44785,1.64039,1.65542,0.00378064,0.00126021,0.00378064,0.00126021,0.00378064,0.00126021,0.00378064,0.00126021
177,14788.4,1.30852,1.30482,1.50722,0.87491,0.76998,0.85259,0.61709,1.44756,1.64094,1.6551,0.00363082,0.00121027,0.00363082,0.00121027,0.00363082,0.00121027,0.00363082,0.00121027
178,14871.6,1.30468,1.29387,1.50286,0.87389,0.77016,0.85249,0.61715,1.44748,1.64153,1.65492,0.00348099,0.00116033,0.00348099,0.00116033,0.00348099,0.00116033,0.00348099,0.00116033
179,14954.9,1.31143,1.30827,1.51012,0.87411,0.77169,0.85224,0.61717,1.44736,1.64221,1.65473,0.00333117,0.00111039,0.00333117,0.00111039,0.00333117,0.00111039,0.00333117,0.00111039
180,15037.8,1.31669,1.30423,1.50835,0.87334,0.77225,0.85245,0.61763,1.447,1.64055,1.6545,0.00318134,0.00106045,0.00318134,0.00106045,0.00318134,0.00106045,0.00318134,0.00106045
181,15120.9,1.30603,1.29903,1.50373,0.87332,0.77261,0.8524,0.61784,1.44678,1.64055,1.65433,0.00303152,0.00101051,0.00303152,0.00101051,0.00303152,0.00101051,0.00303152,0.00101051
182,15204,1.31064,1.3007,1.50479,0.87576,0.77132,0.85268,0.61797,1.44652,1.63962,1.65409,0.00288169,0.000960564,0.00288169,0.000960564,0.00288169,0.000960564,0.00288169,0.000960564
183,15286.9,1.30684,1.29015,1.50377,0.87497,0.77249,0.85276,0.61831,1.4462,1.63828,1.65389,0.00273187,0.000910622,0.00273187,0.000910622,0.00273187,0.000910622,0.00273187,0.000910622
184,15370.2,1.2958,1.26999,1.49582,0.87587,0.77185,0.85279,0.61854,1.44595,1.63782,1.65368,0.00258204,0.000860681,0.00258204,0.000860681,0.00258204,0.000860681,0.00258204,0.000860681
185,15453.1,1.31905,1.30797,1.50932,0.87473,0.77343,0.85354,0.61868,1.44553,1.63554,1.65329,0.00243222,0.000810739,0.00243222,0.000810739,0.00243222,0.000810739,0.00243222,0.000810739
186,15536.4,1.31077,1.29465,1.50577,0.87489,0.77346,0.85392,0.61883,1.44508,1.63388,1.65285,0.00228239,0.000760797,0.00228239,0.000760797,0.00228239,0.000760797,0.00228239,0.000760797
187,15619.4,1.28869,1.26934,1.49251,0.87599,0.77275,0.85401,0.61888,1.44474,1.63278,1.65255,0.00213257,0.000710856,0.00213257,0.000710856,0.00213257,0.000710856,0.00213257,0.000710856
188,15702.8,1.31315,1.29995,1.50706,0.87413,0.77375,0.85415,0.61902,1.44459,1.63203,1.65226,0.00198274,0.000660914,0.00198274,0.000660914,0.00198274,0.000660914,0.00198274,0.000660914
189,15785.8,1.31161,1.28773,1.50406,0.87396,0.7741,0.85431,0.61911,1.4444,1.63192,1.65192,0.00183292,0.000610972,0.00183292,0.000610972,0.00183292,0.000610972,0.00183292,0.000610972
190,15868.8,1.31628,1.29005,1.5044,0.87369,0.77438,0.85442,0.61926,1.44469,1.6323,1.65189,0.00168309,0.000561031,0.00168309,0.000561031,0.00168309,0.000561031,0.00168309,0.000561031
191,15950.2,1.17598,1.20129,1.50912,0.87264,0.77466,0.85453,0.61931,1.44437,1.6317,1.6518,0.00153327,0.000511089,0.00153327,0.000511089,0.00153327,0.000511089,0.00153327,0.000511089
192,16031.3,1.16114,1.1716,1.50013,0.87189,0.77521,0.85475,0.61995,1.44398,1.63105,1.65165,0.00138344,0.000461147,0.00138344,0.000461147,0.00138344,0.000461147,0.00138344,0.000461147
193,16112.2,1.1637,1.16924,1.497,0.87414,0.77466,0.85508,0.62049,1.44339,1.62981,1.65122,0.00123362,0.000411206,0.00123362,0.000411206,0.00123362,0.000411206,0.00123362,0.000411206
194,16193.4,1.16297,1.16865,1.49951,0.87572,0.77425,0.85494,0.62067,1.44329,1.63069,1.65116,0.00108379,0.000361264,0.00108379,0.000361264,0.00108379,0.000361264,0.00108379,0.000361264
195,16274.1,1.15656,1.15671,1.49889,0.87586,0.77433,0.85504,0.62115,1.44286,1.62998,1.65082,0.000933968,0.000311323,0.000933968,0.000311323,0.000933968,0.000311323,0.000933968,0.000311323
196,16355.1,1.15035,1.1492,1.49779,0.87503,0.77549,0.85546,0.62152,1.44259,1.62923,1.65066,0.000784143,0.000261381,0.000784143,0.000261381,0.000784143,0.000261381,0.000784143,0.000261381
197,16435.9,1.14921,1.14209,1.49436,0.87523,0.77569,0.85574,0.62175,1.442,1.62736,1.6502,0.000634318,0.000211439,0.000634318,0.000211439,0.000634318,0.000211439,0.000634318,0.000211439
198,16517.1,1.1412,1.13592,1.49153,0.87607,0.77644,0.85636,0.62264,1.44114,1.62437,1.64972,0.000484493,0.000161498,0.000484493,0.000161498,0.000484493,0.000161498,0.000484493,0.000161498
199,16598,1.14613,1.13817,1.49111,0.87808,0.7767,0.85694,0.62287,1.44042,1.62135,1.64937,0.000334668,0.000111556,0.000334668,0.000111556,0.000334668,0.000111556,0.000334668,0.000111556
200,16678.9,1.15094,1.14661,1.49587,0.87889,0.77741,0.85697,0.62363,1.43967,1.61801,1.64873,0.000184843,6.16143e-05,0.000184843,6.16143e-05,0.000184843,6.16143e-05,0.000184843,6.16143e-05
