epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,268.957,6.01966,3.39013,4.0471,0.08139,0.18479,0.05997,0.02354,5.87255,2.96251,4.20198,0.000263093,0.000263093,0.084911
2,500.331,4.96413,2.31401,3.63228,0.18154,0.20034,0.0952,0.03547,5.40748,2.85449,4.08822,0.000513609,0.000513609,0.0697918
3,764.456,4.77249,2.22168,3.56062,0.26112,0.23169,0.11005,0.03937,5.49923,2.82367,3.86823,0.000714486,0.000714486,0.0546229
4,995.718,4.53753,2.11434,3.46498,0.16096,0.2553,0.15053,0.05943,4.97532,2.29483,3.8864,0.000836277,0.000836277,0.039375
5,1252.3,4.42127,2.03604,3.42293,0.20736,0.31044,0.17169,0.06407,4.88382,2.2548,3.67608,0.000861959,0.000861959,0.024031
6,1502.81,4.27505,1.97089,3.37251,0.25289,0.30841,0.20631,0.08225,4.5303,2.09219,3.6098,0.000790356,0.000790356,0.00858965
7,1744.79,4.11855,1.89086,3.29962,0.25815,0.36232,0.22715,0.09269,4.37039,2.03285,3.54357,0.000592536,0.000592536,0.000592536
8,1985.61,4.01205,1.83105,3.24457,0.36481,0.39625,0.27293,0.10977,4.31385,2.00136,3.48327,0.000353767,0.000353767,0.000353767
9,2240.28,3.88224,1.76874,3.19712,0.27148,0.39201,0.28575,0.11685,4.25351,1.97013,3.45901,0.00016428,0.00016428,0.00016428
10,2478.5,3.80313,1.72338,3.16886,0.36986,0.39317,0.29765,0.12284,4.22765,1.95583,3.43369,4.26213e-05,4.26213e-05,4.26213e-05
