epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,295.828,5.17802,3.88887,0.43612,0.11559,0.1647,0.07672,0.02794,5.5155,4.11917,0.51177,0.000746266,0.000746266,0.0861154
2,557.661,4.3462,2.72443,0.39474,0.22065,0.1118,0.06536,0.0251,5.50697,4.44863,0.51051,0.00148756,0.00148756,0.072209
3,833.755,4.25055,2.64588,0.38987,0.19218,0.23388,0.09849,0.0368,4.88268,3.3818,0.46007,0.00220565,0.00220565,0.0582795
4,1094.63,4.12865,2.57421,0.38295,0.22027,0.25581,0.16819,0.06501,4.2292,2.89074,0.44259,0.00288372,0.00288372,0.0443099
5,1431.46,4.02668,2.5035,0.3789,0.1614,0.16327,0.08504,0.03171,4.92184,4.57102,0.45628,0.00350596,0.00350596,0.0302845
6,1688.86,3.95212,2.46291,0.37593,0.19725,0.33192,0.16801,0.06001,4.20495,2.8486,0.42611,0.00405795,0.00405795,0.0161888
7,1942.85,3.87657,2.40651,0.37017,0.21449,0.31986,0.20524,0.08055,3.93081,2.69819,0.40988,0.00441596,0.00441596,0.00441596
8,2192.76,3.80045,2.35226,0.36592,0.17182,0.28679,0.16509,0.06349,4.11836,2.92814,0.42021,0.0041847,0.0041847,0.0041847
9,2432.35,3.73774,2.30661,0.36374,0.2859,0.34068,0.24027,0.09361,3.83756,2.59607,0.4034,0.00392805,0.00392805,0.00392805
10,2668,3.72138,2.28094,0.36286,0.25704,0.38515,0.25382,0.0967,3.79481,2.61307,0.4056,0.00365005,0.00365005,0.00365005
11,2921.55,3.6525,2.22778,0.35893,0.27242,0.37467,0.25373,0.1019,3.7036,2.59702,0.39675,0.00335509,0.00335509,0.00335509
12,3154.97,3.5885,2.19896,0.3572,0.24411,0.37062,0.25691,0.10389,3.70007,2.55598,0.39919,0.00304781,0.00304781,0.00304781
13,3406.37,3.47365,2.1264,0.35122,0.31198,0.3959,0.27571,0.11158,3.67111,2.62377,0.39336,0.00273308,0.00273308,0.00273308
14,3640.43,3.48888,2.12404,0.35098,0.25326,0.38153,0.27622,0.11064,3.64811,2.56128,0.39278,0.00241584,0.00241584,0.00241584
15,3884.48,3.44829,2.09404,0.34999,0.32603,0.39255,0.28651,0.11174,3.63145,2.55013,0.39061,0.0021011,0.0021011,0.0021011
16,4110.93,3.29922,2.20794,0.36211,0.34227,0.39842,0.29497,0.11797,3.61121,2.5249,0.3872,0.00179383,0.00179383,0.00179383
17,4334.24,3.2439,2.1666,0.36069,0.32193,0.41646,0.29795,0.12387,3.60036,2.50642,0.38848,0.00149887,0.00149887,0.00149887
18,4558.27,3.20342,2.14738,0.35836,0.32191,0.41801,0.30021,0.12135,3.58079,2.48709,0.38625,0.00122087,0.00122087,0.00122087
19,4783.62,3.1698,2.09467,0.35578,0.33504,0.40648,0.30157,0.1217,3.57184,2.48195,0.38387,0.000964214,0.000964214,0.000964214
20,5009.43,3.11142,2.05585,0.3526,0.3276,0.41897,0.30432,0.12399,3.55752,2.5014,0.38452,0.000732957,0.000732957,0.000732957
21,5233.75,3.11427,2.03784,0.35206,0.32669,0.42866,0.30683,0.12306,3.54418,2.48986,0.38562,0.000530741,0.000530741,0.000530741
22,5458.64,3.07007,2.02373,0.35218,0.34526,0.42478,0.31352,0.12836,3.53795,2.48743,0.38393,0.000360756,0.000360756,0.000360756
23,5683.24,3.05485,1.98664,0.35058,0.33805,0.44067,0.31128,0.12591,3.52906,2.48344,0.38454,0.000225682,0.000225682,0.000225682
24,5907.05,3.03017,1.9609,0.34884,0.34458,0.4253,0.30956,0.12646,3.53149,2.4839,0.38479,0.000127649,0.000127649,0.000127649
25,6131.09,3.04084,1.97594,0.3494,0.34066,0.42793,0.31096,0.1267,3.52939,2.48353,0.3842,6.82047e-05,6.82047e-05,6.82047e-05
