epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,277.721,7.86694,10.2688,1.4263,0.13858,0.17705,0.10735,0.03846,7.96729,9.69545,1.50947,0.000361495,0.000361495,0.0866508
2,531.566,6.56384,8.19443,1.28352,0.18045,0.24855,0.13133,0.04887,6.87304,10.132,1.35349,0.00070762,0.00070762,0.0732705
3,793.499,6.32904,7.87311,1.25601,0.20032,0.24165,0.15378,0.05962,6.98531,8.80204,1.38212,0.00099291,0.00099291,0.0598294
4,1050.43,6.08503,7.57447,1.22869,0.21979,0.27967,0.21427,0.08179,6.40084,7.91582,1.27161,0.00118128,0.00118128,0.0462913
5,1299.86,5.85787,7.27056,1.20098,0.21776,0.30823,0.19236,0.07258,6.50166,8.55035,1.33286,0.00125186,0.00125186,0.0326355
6,1543.86,5.76747,7.09115,1.19616,0.33543,0.39343,0.2752,0.10851,5.92972,7.5279,1.24701,0.00120321,0.00120321,0.0188604
7,1786.52,5.55331,6.79372,1.17061,0.31828,0.36813,0.29509,0.12187,5.78968,7.34263,1.22998,0.00105485,0.00105485,0.00498566
8,2022.36,5.42473,6.57049,1.14975,0.39909,0.39553,0.31273,0.12885,5.75939,7.52248,1.22919,0.000770351,0.000770351,0.000770351
9,2250.79,5.26546,6.37026,1.13119,0.31546,0.38493,0.32544,0.13728,5.62681,7.15058,1.21976,0.000510322,0.000510322,0.000510322
10,2479.13,5.13555,6.17507,1.11917,0.39827,0.40144,0.32871,0.13464,5.61597,7.22006,1.20784,0.000343373,0.000343373,0.000343373
