epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.002,2.37545,9.86444,3.30235,0.3492,0.15956,0.07813,0.03031,2.25582,10.5532,3.3794,0.00436333,0.00436333,0.0751212
2,495.09,2.11678,8.30247,3.09906,0.11723,0.17861,0.08776,0.03212,2.2849,9.33568,3.47532,0.00852222,0.00852222,0.0500044
3,753.334,1.99554,7.79252,2.97193,0.24854,0.19057,0.11204,0.03977,2.15784,8.87775,3.24469,0.0118738,0.0118738,0.0240804
4,1006.32,1.88433,7.34376,2.87174,0.11222,0.20481,0.10148,0.03909,2.17939,9.0692,3.24864,0.0119068,0.0119068,0.0119068
5,1252.74,1.78925,6.95235,2.78051,0.28338,0.31833,0.17194,0.0609,1.85435,7.47226,2.97402,0.00986815,0.00986815,0.00986815
6,1488.19,1.72023,6.64869,2.71843,0.24903,0.32534,0.21547,0.08608,1.74377,6.91078,2.84163,0.00760826,0.00760826,0.00760826
7,1735.41,1.65283,6.36516,2.65992,0.35701,0.33028,0.24467,0.09752,1.7629,6.97449,2.85027,0.00534838,0.00534838,0.00534838
8,1973.62,1.61446,6.13366,2.61349,0.29376,0.35227,0.25596,0.10349,1.69821,6.75299,2.78819,0.00330971,0.00330971,0.00330971
9,2211.06,1.5679,5.90089,2.57247,0.37352,0.37235,0.28592,0.11412,1.66363,6.61256,2.77543,0.00169181,0.00169181,0.00169181
10,2450.36,1.53514,5.73925,2.54461,0.3421,0.39031,0.28287,0.11177,1.64213,6.55801,2.74268,0.000653055,0.000653055,0.000653055
