epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,293.327,8.28346,7.32339,0.31894,0.09044,0.13101,0.0618,0.02279,8.4374,7.38587,0.33391,8.0335e-05,8.0335e-05,0.0865379
2,554.068,6.80387,5.69247,0.28336,0.36112,0.18895,0.11029,0.03947,7.32604,6.78423,0.30544,0.000157143,0.000157143,0.0730567
3,816.72,6.43337,5.31758,0.27426,0.28769,0.2496,0.14339,0.05315,7.06821,5.89877,0.29859,0.000219999,0.000219999,0.0595615
4,1071.92,6.12483,5.0581,0.26631,0.26598,0.29538,0.20824,0.07896,6.48662,5.78186,0.28195,0.000260628,0.000260628,0.0460441
5,1320.5,5.90232,4.85992,0.26109,0.20761,0.31484,0.21658,0.08046,6.26367,5.41282,0.27785,0.000274245,0.000274245,0.0324997
6,1574.15,5.77475,4.70725,0.25781,0.31595,0.38314,0.24446,0.09634,6.07298,5.1411,0.27418,0.00026052,0.00026052,0.018928
7,1817.65,5.59979,4.55533,0.25367,0.30002,0.37121,0.23756,0.09079,6.03923,5.18901,0.27632,0.000223929,0.000223929,0.00533342
8,2057.22,5.4683,4.43032,0.24973,0.36005,0.39674,0.30564,0.12184,5.85194,4.95697,0.26873,0.000159913,0.000159913,0.000159913
9,2293.17,5.34612,4.30695,0.24764,0.3135,0.41134,0.30244,0.12216,5.79854,4.88732,0.2674,9.95405e-05,9.95405e-05,9.95405e-05
10,2529.65,5.25322,4.19543,0.24531,0.36613,0.41164,0.30669,0.12114,5.75535,4.89564,0.26661,6.0779e-05,6.0779e-05,6.0779e-05
