epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,259.607,5.16186,0.84372,3.03568,0.08105,0.16184,0.05258,0.018,4.1798,0.28932,2.83936,0.00444882,0.00444882,0.0782358
2,515.079,4.07248,0.26999,2.67784,0.10279,0.19841,0.08706,0.03399,4.01079,0.24388,2.77058,0.00801281,0.00801281,0.0555718
3,777.447,3.82983,0.22835,2.57209,0.1341,0.20688,0.10847,0.04115,3.69207,0.22327,2.6362,0.0106892,0.0106892,0.0320201
4,1038.41,3.67678,0.2133,2.50768,0.15488,0.23292,0.12403,0.04751,3.69644,0.20643,2.60291,0.0118954,0.0118954,0.0118954
5,1320.33,3.5189,0.20426,2.44531,0.19576,0.27985,0.15362,0.06137,3.46846,0.19882,2.51359,0.0102033,0.0102033,0.0102033
6,1605.36,3.40506,0.19924,2.39931,0.18676,0.27032,0.14921,0.05744,3.46623,0.20427,2.48263,0.00851115,0.00851115,0.00851115
7,1885.12,3.30904,0.19447,2.35542,0.19675,0.29788,0.16289,0.06173,3.3635,0.194,2.43933,0.00681902,0.00681902,0.00681902
8,2157.85,3.21932,0.19049,2.31957,0.22567,0.32524,0.19634,0.07484,3.30198,0.18943,2.41262,0.00512689,0.00512689,0.00512689
9,2440.19,3.1443,0.18695,2.28148,0.2184,0.33285,0.19434,0.07672,3.2581,0.18835,2.39452,0.00343476,0.00343476,0.00343476
10,2713.04,3.08331,0.18476,2.267,0.2265,0.33274,0.20035,0.07998,3.23007,0.187,2.37901,0.00174263,0.00174263,0.00174263
