epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.753,3.5856,10.5647,6.38522,0.16906,0.21174,0.11436,0.03837,3.35088,10.3133,6.10955,0.000189622,0.000189622,0.0784711
2,333.257,2.99814,8.37302,5.71805,0.33451,0.23195,0.16989,0.06457,3.07316,9.24243,6.06996,0.000370201,0.000370201,0.0569082
3,472.005,2.82805,7.81775,5.53412,0.19724,0.32469,0.20221,0.07627,2.9642,9.06608,5.90291,0.000515083,0.000515083,0.0353096
4,597.026,2.70352,7.45857,5.39021,0.37343,0.29318,0.24721,0.09531,2.82424,7.9727,5.67366,0.000603094,0.000603094,0.0136542
5,856.735,2.66309,7.31886,5.32798,0.39672,0.02732,0.02084,0.00753,8.30132,195.758,24.0992,0.000572248,0.000572248,0.000572248
6,1080.54,2.73846,7.65068,5.39422,1e-05,0.00281,1e-05,0,6.05811,19.1875,10.3788,0.000437708,0.000437708,0.000437708
7,1401.39,2.75897,7.88763,5.43195,0.09264,0.06689,0.03802,0.01406,4.80551,14.5187,7.55823,0.000303168,0.000303168,0.000303168
