epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,272.423,4.68175,2.61275,1.72297,0.08718,0.17154,0.06723,0.0238,4.30274,2.14694,1.71193,4.03837e-05,4.03837e-05,0.0798131
2,529.926,3.87793,1.91551,1.53904,0.12461,0.24818,0.10119,0.03691,3.95326,2.12882,1.61404,7.29674e-05,7.29674e-05,0.0595951
3,794.831,3.62393,1.77579,1.4849,0.2017,0.23567,0.12822,0.0439,3.80632,2.06792,1.57581,9.77001e-05,9.77001e-05,0.0393693
4,1043.51,3.43472,1.67977,1.4399,0.20109,0.31937,0.18077,0.06808,3.54842,1.81739,1.53673,0.000114582,0.000114582,0.0191357
5,1293.87,3.32877,1.60649,1.41989,0.31625,0.30532,0.20166,0.07663,3.46136,1.71044,1.50814,0.000122112,0.000122112,0.000122112
6,1535.76,3.24232,1.55767,1.40504,0.30937,0.35236,0.2292,0.08932,3.39621,1.64185,1.49074,0.000102727,0.000102727,0.000102727
7,1776.28,3.16844,1.51814,1.38837,0.26451,0.33842,0.2252,0.08618,3.36917,1.64279,1.50426,8.33427e-05,8.33427e-05,8.33427e-05
8,2021.33,3.1299,1.49182,1.37576,0.36588,0.339,0.24694,0.09645,3.33014,1.62386,1.47201,6.39583e-05,6.39583e-05,6.39583e-05
9,2261.74,3.08643,1.46658,1.36597,0.38479,0.36349,0.26085,0.10221,3.30716,1.60252,1.46622,4.45738e-05,4.45738e-05,4.45738e-05
10,2504.85,3.03861,1.43712,1.35485,0.30009,0.37332,0.25364,0.09948,3.29038,1.60226,1.46121,2.51894e-05,2.51894e-05,2.51894e-05
