epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.607,2.16181,1.70831,0.753,0.73642,0.23588,0.25559,0.16774,2.63346,2.25557,0.94385,0.00107371,0.00107371,0.0788638
2,434.43,1.80133,1.22368,0.67778,0.53234,0.36816,0.36763,0.20339,2.22194,1.58686,0.78401,0.00212669,0.00212669,0.0576792
3,649.375,1.81047,1.2811,0.71118,0.51065,0.39053,0.33203,0.19127,2.28676,1.51523,0.80892,0.00309283,0.00309283,0.0364077
4,844.382,1.75329,1.22768,0.70061,0.55536,0.37168,0.37421,0.25664,2.35135,1.80119,0.85269,0.00391302,0.00391302,0.0149903
5,1046.84,1.67612,1.16462,0.68262,0.67557,0.35266,0.39353,0.28075,2.22946,1.67816,0.81892,0.00408266,0.00408266,0.00408266
6,1259.49,1.62436,1.12049,0.668,0.58346,0.47062,0.49298,0.35102,2.01232,1.31853,0.75641,0.00369841,0.00369841,0.00369841
7,1466,1.57287,1.0691,0.6553,0.58102,0.46385,0.47995,0.30267,2.08159,1.38728,0.75795,0.00326452,0.00326452,0.00326452
8,1664.22,1.53774,1.04347,0.64956,0.453,0.54628,0.56381,0.3381,1.88981,1.23932,0.70833,0.00279994,0.00279994,0.00279994
9,1862.64,1.50326,1.00585,0.63972,0.51173,0.56296,0.58202,0.40321,1.83403,1.20158,0.70524,0.00232498,0.00232498,0.00232498
10,2057.45,1.44787,0.96529,0.63156,0.52352,0.59098,0.60114,0.41442,1.80518,1.18328,0.69525,0.0018604,0.0018604,0.0018604
11,2252.08,1.42584,0.94012,0.6242,0.62627,0.56813,0.60186,0.41724,1.80684,1.20663,0.69019,0.0014265,0.0014265,0.0014265
12,2447.08,1.37777,0.91296,0.61776,0.59958,0.58701,0.62728,0.44531,1.76804,1.14984,0.6889,0.00104225,0.00104225,0.00104225
13,2640.51,1.3623,0.89076,0.61339,0.54376,0.62176,0.62032,0.45322,1.75011,1.14722,0.68545,0.000724441,0.000724441,0.000724441
14,2835.45,1.33119,0.87032,0.60884,0.58992,0.6279,0.64009,0.43241,1.75699,1.1375,0.6783,0.000486962,0.000486962,0.000486962
15,3028.68,1.31589,0.8627,0.60749,0.57853,0.61796,0.63323,0.44602,1.74276,1.13976,0.68005,0.000340191,0.000340191,0.000340191
