epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,346.074,5.74668,19.7539,5.74139,0.01153,0.04147,0.00692,0.00185,4.76265,31.6361,4.96083,1.87796e-05,1.87796e-05,0.0874349
2,661.115,4.6724,13.5755,4.84726,0.05563,0.09851,0.04498,0.01366,4.22389,12.5662,4.47868,3.38134e-05,3.38134e-05,0.0748589
3,985.851,4.28495,12.1826,4.50852,0.06397,0.13357,0.05549,0.01722,3.93562,11.9153,4.2422,4.50896e-05,4.50896e-05,0.0622792
4,1303.41,4.03198,11.6894,4.28433,0.07712,0.1447,0.06699,0.0223,3.71855,11.5182,4.07624,5.2608e-05,5.2608e-05,0.0496956
5,1619.14,3.81527,11.379,4.13771,0.09236,0.15887,0.0747,0.02506,3.58878,11.2188,4.00386,5.63687e-05,5.63687e-05,0.0371084
6,1934.02,3.69886,11.1678,4.07332,0.0944,0.17733,0.08181,0.02822,3.49784,11.0699,3.95688,5.63718e-05,5.63718e-05,0.0245173
7,2242.38,3.61947,10.9893,4.00271,0.10289,0.1779,0.08633,0.03025,3.44624,10.9582,3.91147,5.26172e-05,5.26172e-05,0.0119225
8,2559.33,3.5623,10.9056,3.957,0.1146,0.1855,0.0915,0.03156,3.40911,10.8194,3.89445,4.4782e-05,4.4782e-05,4.4782e-05
9,2874.94,3.52979,10.7866,3.92764,0.11815,0.18563,0.09266,0.03226,3.3879,10.7826,3.8692,2.98599e-05,2.98599e-05,2.98599e-05
10,3191.19,3.51552,10.7734,3.91588,0.11864,0.18776,0.09554,0.03341,3.38013,10.7318,3.87116,1.49379e-05,1.49379e-05,1.49379e-05
