epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.757,1.60487,24.5159,7.23321,0.30779,0.18747,0.0791,0.02751,1.45032,24.7433,6.59036,0.0111785,0.0111785,0.0150374
2,346.174,1.24364,18.9426,5.88197,0.33493,0.27361,0.17689,0.06469,1.21005,18.6414,6.05717,0.0113431,0.0113431,0.0113431
3,534.906,1.16082,17.2801,5.60233,0.21031,0.27432,0.19154,0.06908,1.17373,18.7024,5.84026,0.0105186,0.0105186,0.0105186
4,684.577,1.10249,16.2034,5.44627,0.27891,0.33879,0.25489,0.09888,1.11913,17.1153,5.7603,0.00923436,0.00923436,0.00923436
5,826.834,1.06962,15.4853,5.36079,0.2924,0.34057,0.27285,0.10583,1.09704,16.6544,5.66105,0.00761615,0.00761615,0.00761615
6,959.938,1.04432,14.8496,5.30286,0.36921,0.36196,0.28041,0.11444,1.07627,16.2504,5.63571,0.00582235,0.00582235,0.00582235
7,1152.23,1.05121,14.9502,5.32525,0,0.00054,0,0,3.93733,inf,215.204,0.00402856,0.00402856,0.00402856
8,1375.94,2.05716,32.4775,8.55159,0.27708,0.01367,0.00516,0.00197,2.11516,42.9438,9.33663,0.00241035,0.00241035,0.00241035
9,1702.92,2.20602,35.2369,9.1414,0.27708,0.01367,0.00516,0.00197,2.11516,42.9438,9.33663,0.00112613,0.00112613,0.00112613
