epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,318.055,5.19399,4.21179,0.47012,0.17942,0.08242,0.05311,0.01748,5.82245,4.22987,0.48545,0.000746266,0.000746266,0.0861154
2,598.803,4.38687,2.9807,0.42652,0.1663,0.25194,0.14214,0.04915,4.43242,3.12719,0.44623,0.00145719,0.00145719,0.0721787
3,884.191,4.26868,2.9049,0.41986,0.28828,0.23158,0.13878,0.04996,4.58435,3.33459,0.45545,0.00202859,0.00202859,0.0581024
4,1180.77,4.07273,2.78686,0.40727,0.19502,0.25917,0.15631,0.05957,4.22278,3.18112,0.43969,0.00237769,0.00237769,0.0438039
5,1463.4,3.93906,2.66932,0.39887,0.20353,0.26401,0.14598,0.0551,4.29964,3.0669,0.43267,0.00245664,0.00245664,0.0292352
6,1705.99,3.81257,2.58649,0.39322,0.37016,0.35203,0.25229,0.10183,3.86353,2.63673,0.40369,0.00226215,0.00226215,0.014393
7,2029.87,3.65096,2.47233,0.38336,0.34537,0.32266,0.22437,0.08737,3.96698,2.66749,0.40562,0.00179383,0.00179383,0.00179383
8,2315.27,3.52306,2.37415,0.37434,0.31723,0.39094,0.27506,0.10897,3.73017,2.52953,0.39683,0.00108961,0.00108961,0.00108961
9,2585.83,3.39801,2.28407,0.36769,0.33929,0.36376,0.28499,0.11503,3.66067,2.51618,0.39295,0.000530741,0.000530741,0.000530741
10,2875.12,3.32139,2.21028,0.36294,0.31738,0.40385,0.29589,0.1185,3.63837,2.50778,0.39116,0.000171925,0.000171925,0.000171925
