epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,277.486,6.70828,7.27135,5.60642,0.07001,0.13067,0.04878,0.01778,6.18079,7.66372,5.54962,4.36707e-05,4.36707e-05,0.0826593
2,528.601,5.53955,5.40048,5.02173,0.13898,0.21782,0.10632,0.04115,5.87858,6.02131,5.58706,8.52545e-05,8.52545e-05,0.0652966
3,783.986,5.18796,5.00651,4.85748,0.31832,0.27525,0.15943,0.05964,5.26022,5.22799,5.14771,0.000118601,0.000118601,0.0479256
4,1041.37,4.89288,4.67747,4.70784,0.23081,0.29264,0.18899,0.07096,5.14491,5.08244,4.97726,0.000138825,0.000138825,0.0305415
5,1287.73,4.75513,4.52971,4.6381,0.24324,0.33077,0.23216,0.09211,4.87288,4.74418,4.89313,0.0001431,0.0001431,0.0131415
6,1523,4.60909,4.35797,4.57597,0.30215,0.36467,0.23873,0.09622,4.83579,4.69371,4.89026,0.000125694,0.000125694,0.000125694
7,1769.6,4.49574,4.23791,4.51539,0.2812,0.34931,0.24472,0.09621,4.77292,4.63326,4.80811,8.69089e-05,8.69089e-05,8.69089e-05
8,2013.62,4.42209,4.1441,4.46153,0.31853,0.35316,0.26461,0.10434,4.73132,4.60197,4.82318,5.192e-05,5.192e-05,5.192e-05
9,2253.86,4.35987,4.06888,4.43707,0.31718,0.36506,0.27387,0.11054,4.69974,4.54715,4.78847,2.41526e-05,2.41526e-05,2.41526e-05
10,2497.13,4.31136,4.00444,4.40896,0.34631,0.36756,0.27383,0.11067,4.69177,4.55942,4.77136,6.3249e-06,6.3249e-06,6.3249e-06
