epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,259.222,11.1298,26.7664,10.45,0.04648,0.10351,0.02581,0.00742,9.96635,30.5839,10.4942,0.000353226,0.000353226,0.058248
2,523.641,9.97825,26.1925,9.90866,0.0545,0.09884,0.02897,0.00879,9.39255,24.7295,9.62955,0.000636622,0.000636622,0.0163778
3,890.071,9.93071,26.1372,9.87798,0.0545,0.09884,0.02897,0.00879,9.39255,24.7295,9.62955,0.000672199,0.000672199,0.000672199
4,1299,9.94868,26.2743,9.90512,0.0545,0.09884,0.02897,0.00879,9.39255,24.7295,9.62955,0.000588843,0.000588843,0.000588843
5,1716.78,9.99707,26.3112,9.90207,0.0545,0.09884,0.02897,0.00879,9.39255,24.7295,9.62955,0.000505487,0.000505487,0.000505487
