epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,312.593,9.96658,11.9895,1.97836,0.00402,0.05948,0.00222,0.00065,8.66073,8.76884,1.78849,1.40204e-05,1.40204e-05,0.0194508
2,611.562,8.40416,8.75237,1.73297,0.044,0.07721,0.02989,0.00891,7.43205,7.76178,1.60091,1.70349e-05,1.70349e-05,1.70349e-05
3,908.279,7.46314,7.4044,1.58792,0.05477,0.10731,0.03886,0.0121,6.7995,6.76287,1.49362,1.59665e-05,1.59665e-05,1.59665e-05
4,1201.26,6.93108,6.60779,1.51404,0.06234,0.11248,0.05147,0.01672,6.39767,6.38284,1.45551,1.43025e-05,1.43025e-05,1.43025e-05
5,1532.27,6.56179,6.30874,1.47678,0.06861,0.13907,0.06016,0.02017,6.15954,6.13055,1.42941,1.22058e-05,1.22058e-05,1.22058e-05
6,1847.06,6.37227,6.13705,1.45185,0.06886,0.1437,0.06557,0.02224,6.03013,6.04487,1.4134,9.88153e-06,9.88153e-06,9.88153e-06
7,2165.2,6.25315,6.02619,1.43025,0.07184,0.14989,0.06664,0.02287,5.94867,5.98269,1.40091,7.55727e-06,7.55727e-06,7.55727e-06
8,2467.71,6.17268,5.97428,1.41707,0.07632,0.15393,0.07071,0.02464,5.90146,5.91918,1.39364,5.46052e-06,5.46052e-06,5.46052e-06
9,2787.95,6.12125,5.90524,1.40595,0.07969,0.15668,0.07165,0.02507,5.85449,5.89715,1.38601,3.79653e-06,3.79653e-06,3.79653e-06
10,3090.5,6.09778,5.89034,1.40212,0.07739,0.15732,0.07153,0.0255,5.84195,5.88647,1.38619,2.72819e-06,2.72819e-06,2.72819e-06
