epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,281.317,7.41299,6.36486,2.58023,0.1808,0.13596,0.04884,0.01669,7.14929,5.73729,2.5568,0.0075048,0.0075048,0.0908062
2,525.653,6.48647,4.95399,2.37317,0.10908,0.12277,0.07257,0.02453,6.9894,5.32495,2.52445,0.014667,0.014667,0.0812507
3,781.488,6.20848,4.7894,2.29799,0.30878,0.21032,0.09579,0.03666,6.1676,6.05037,2.35284,0.0204756,0.0204756,0.0703415
4,1085.77,5.73199,4.48269,2.1691,0.15171,0.18183,0.09776,0.03796,6.27031,4.98962,2.38741,0.0241274,0.0241274,0.0572756
5,1367.05,5.58695,4.35897,2.12647,0.15446,0.276,0.14157,0.05481,5.50731,4.4102,2.16447,0.0251583,0.0251583,0.0415888
6,1668.72,5.32703,4.16026,2.06697,0.15776,0.23433,0.14527,0.05923,5.59704,4.44346,2.17917,0.0234689,0.0234689,0.0234689
7,1971.77,5.11884,3.99671,2.01608,0.16087,0.29,0.16765,0.06437,5.32319,4.22944,2.09555,0.0168331,0.0168331,0.0168331
8,2261.43,4.97584,3.85078,1.96848,0.2303,0.29671,0.17735,0.07036,5.20643,4.31549,2.09492,0.0108469,0.0108469,0.0108469
9,2545.57,4.82628,3.71728,1.93572,0.20135,0.30975,0.20226,0.08169,5.10529,4.13197,2.07532,0.00609619,0.00609619,0.00609619
10,2824.1,4.72169,3.61678,1.91241,0.24095,0.35369,0.23531,0.09173,5.03175,4.00483,2.04509,0.00304605,0.00304605,0.00304605
