epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.58,2.54603,2.38872,5.05206,0.07284,0.20445,0.04661,0.01862,2.72763,3.12241,5.7209,0.000379054,0.000379054,0.0843437
2,505.515,2.10141,1.69423,4.5367,0.18074,0.21922,0.14056,0.04986,2.19068,1.95899,4.85942,0.000740244,0.000740244,0.0686512
3,758.191,2.03761,1.63819,4.46277,0.12245,0.19163,0.10473,0.0416,2.25207,1.96077,4.90037,0.00103091,0.00103091,0.0528882
4,1011.48,1.93443,1.5584,4.35958,0.26278,0.24562,0.14978,0.057,2.14355,1.66528,4.83629,0.0012092,0.0012092,0.0370128
5,1260.09,1.8861,1.50918,4.30018,0.20137,0.29133,0.14952,0.05555,2.10828,1.73886,4.69698,0.00125093,0.00125093,0.0210008
6,1522.67,1.81672,1.45562,4.23013,0.25508,0.30805,0.21275,0.085,1.99413,1.55596,4.5508,0.00115445,0.00115445,0.00485066
7,1764.01,1.75791,1.39473,4.15562,0.26015,0.33027,0.24542,0.09899,1.86392,1.49907,4.39667,0.000838715,0.000838715,0.000838715
8,1993.66,1.70645,1.35259,4.07868,0.30095,0.37565,0.26785,0.10802,1.82431,1.48468,4.38041,0.000513917,0.000513917,0.000513917
9,2227.9,1.65228,1.30896,4.02325,0.29834,0.40367,0.28714,0.11807,1.79882,1.44799,4.34418,0.000256157,0.000256157,0.000256157
10,2460.92,1.61753,1.27235,3.98457,0.33033,0.39209,0.29203,0.11984,1.78995,1.44375,4.32674,9.06644e-05,9.06644e-05,9.06644e-05
