epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,297.7,0.99624,1.21231,0.54889,0.20018,0.14852,0.0784,0.02577,0.95451,1.25138,0.55887,0.00203545,0.00203545,0.0708078
2,560.86,0.87625,1.02671,0.51092,0.2802,0.26183,0.1452,0.05089,0.85312,1.07657,0.51689,0.00366776,0.00366776,0.0411946
3,846.08,0.82924,0.96321,0.49167,0.17249,0.23678,0.13182,0.04752,0.85775,1.00615,0.51343,0.00489565,0.00489565,0.011177
4,1134.44,0.79631,0.92388,0.47992,0.219,0.29374,0.20361,0.0766,0.78065,0.91435,0.49533,0.0045766,0.0045766,0.0045766
5,1422.69,0.76485,0.88349,0.46936,0.28683,0.28033,0.16429,0.06259,0.80342,1.00541,0.50635,0.00392944,0.00392944,0.00392944
6,1708.81,0.74392,0.86235,0.46285,0.22759,0.32431,0.20903,0.07918,0.75574,0.89352,0.47649,0.00328227,0.00328227,0.00328227
7,2003.12,0.72822,0.84274,0.45651,0.23241,0.3884,0.25434,0.1037,0.73698,0.8689,0.47094,0.00263511,0.00263511,0.00263511
8,2293.78,0.70989,0.82349,0.45051,0.36417,0.38374,0.2447,0.09648,0.73134,0.86754,0.47005,0.00198794,0.00198794,0.00198794
9,2572.18,0.6958,0.80294,0.44406,0.27397,0.37362,0.27097,0.10726,0.71726,0.85114,0.46658,0.00134077,0.00134077,0.00134077
10,2849.07,0.68063,0.77994,0.4398,0.31728,0.40785,0.28246,0.11176,0.70863,0.84446,0.46252,0.000693608,0.000693608,0.000693608
