epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.711,3.65033,9.9817,6.06038,0.36235,0.17887,0.10902,0.04006,3.49572,11.6314,6.59499,0.000189622,0.000189622,0.0784711
2,290.55,3.00447,7.79078,5.38909,0.18919,0.31634,0.17946,0.06712,3.09563,8.92372,6.19016,0.000378425,0.000378425,0.0569164
3,430.524,2.85188,7.2994,5.23033,0.24734,0.33615,0.22026,0.08591,2.94969,8.36042,5.91184,0.000563098,0.000563098,0.0353576
4,560.3,2.77752,7.04683,5.14626,0.4305,0.30853,0.22895,0.08346,2.84209,8.34096,5.69693,0.000740613,0.000740613,0.0137917
5,789.313,6.31788,22.5381,9.48699,0,0,0,0,9.21663,46.4136,18.9878,0.000835448,0.000835448,0.000835448
6,1139.44,6.97748,30.3379,10.0767,8e-05,0.01396,4e-05,1e-05,5.95734,63.0817,12.6503,0.000814759,0.000814759,0.000814759
7,1497.16,7.05096,31.096,10.1724,4e-05,0.0135,2e-05,1e-05,5.94967,104.617,11.518,0.000789938,0.000789938,0.000789938
8,1732.25,7.10929,30.2243,10.3433,4e-05,0.01394,2e-05,1e-05,8.34588,246.602,82.7741,0.000761259,0.000761259,0.000761259
