epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,289.785,7.67243,9.82434,1.29918,0.19639,0.11599,0.07797,0.02948,7.91433,9.6487,1.28829,0.00025268,0.00025268,0.0866192
2,519.358,6.37305,7.73779,1.16062,0.14375,0.23465,0.08907,0.03225,7.37025,10.7136,1.36495,0.000495479,0.000495479,0.0732128
3,782.143,6.12207,7.40532,1.13352,0.40606,0.26458,0.16535,0.05896,6.80073,8.19958,1.24349,0.000699076,0.000699076,0.0597672
4,1032.89,5.87443,7.08939,1.10599,0.2476,0.28977,0.21334,0.08063,6.21161,7.71626,1.15082,0.000840214,0.000840214,0.0462592
5,1277.82,5.66925,6.84338,1.082,0.22052,0.33518,0.23472,0.08765,6.01105,7.54508,1.14417,0.00090545,0.00090545,0.0326753
6,1513.93,5.57365,6.68261,1.0753,0.26685,0.36215,0.25322,0.09981,5.77767,7.25656,1.12548,0.000893856,0.000893856,0.0190146
7,1807.53,5.38305,6.44987,1.05479,0.28169,0.37982,0.28049,0.11276,5.62457,7.06853,1.11235,0.000818008,0.000818008,0.00528955
8,2111.46,5.26802,6.23902,1.03863,0.40421,0.38649,0.30647,0.1241,5.54957,6.91961,1.1067,0.00064396,0.00064396,0.00064396
9,2384.14,5.13534,6.04151,1.02741,0.36445,0.37867,0.30132,0.12097,5.55342,6.94019,1.11627,0.000475448,0.000475448,0.000475448
10,2672.33,5.0385,5.86605,1.01633,0.36331,0.39525,0.31982,0.12682,5.46176,6.85715,1.08875,0.000367257,0.000367257,0.000367257
