epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,295.291,5.97855,15.3889,1.21702,0.09128,0.16213,0.06735,0.02152,5.60888,15.5422,1.17645,1.23775e-05,1.23775e-05,0.0809189
2,571.785,5.13729,12.6866,1.09542,0.13291,0.196,0.10706,0.03735,5.16814,14.1312,1.15449,2.42102e-05,2.42102e-05,0.0618153
3,838.602,4.82408,11.8352,1.05941,0.21073,0.23665,0.14485,0.05347,4.80733,12.7444,1.10777,3.3888e-05,3.3888e-05,0.0427096
4,1098.18,4.57652,11.1743,1.03026,0.33471,0.28358,0.1827,0.06679,4.60541,11.7987,1.07346,4.01326e-05,4.01326e-05,0.0236005
5,1357.87,4.42998,10.7376,1.01087,0.24124,0.30345,0.21256,0.07824,4.46439,11.3516,1.06178,4.2205e-05,4.2205e-05,0.00448714
6,1610.96,4.32447,10.4333,0.99722,0.26426,0.3292,0.21755,0.08153,4.40428,11.1576,1.05756,3.49299e-05,3.49299e-05,3.49299e-05
7,1869.45,4.23837,10.189,0.98622,0.28278,0.33949,0.22775,0.08536,4.35926,11.0236,1.05039,2.56915e-05,2.56915e-05,2.56915e-05
8,2126.03,4.21087,10.0363,0.97799,0.31639,0.33717,0.23952,0.09072,4.3225,10.9346,1.03798,1.73575e-05,1.73575e-05,1.73575e-05
9,2381.11,4.17435,9.91159,0.97405,0.30726,0.34526,0.2409,0.09341,4.31666,10.8354,1.0418,1.07435e-05,1.07435e-05,1.07435e-05
10,2636.78,4.14282,9.81457,0.97026,0.30202,0.34288,0.2438,0.09412,4.29872,10.8419,1.0363,6.49713e-06,6.49713e-06,6.49713e-06
