epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,275.3,7.01492,12.1591,1.49085,0.2383,0.21974,0.13075,0.04422,7.09687,11.2037,1.42422,0.000481948,0.000481948,0.0860759
2,498.201,5.90158,9.84914,1.3478,0.19882,0.25469,0.15906,0.0588,6.15843,10.9685,1.40011,0.000942127,0.000942127,0.0721134
3,677.74,5.73056,9.53192,1.32155,0.28919,0.22768,0.15632,0.05779,6.06019,11.2146,1.40742,0.00131628,0.00131628,0.058065
4,974.294,5.48872,9.10082,1.28683,0.21062,0.30489,0.21316,0.08093,5.75296,9.8468,1.32912,0.00155336,0.00155336,0.0438795
5,1209.23,5.31054,8.75186,1.26524,0.32742,0.29615,0.21454,0.08267,5.66815,9.91257,1.37092,0.00162388,0.00162388,0.0295274
6,1457.3,5.17271,8.47523,1.24944,0.34292,0.36319,0.28657,0.11584,5.2801,8.97875,1.31236,0.00152579,0.00152579,0.0150067
7,1861.65,6.27493,10.6004,1.3792,0,0.00523,0,0,13.6353,657.412,3.00661,0.00127469,0.00127469,0.00127469
8,2187.89,8.7714,15.4195,1.71173,0.00017,0.02217,0.00012,3e-05,15.0627,108.405,4.74331,0.0008337,0.0008337,0.0008337
9,2516.01,8.49238,15.1379,1.67382,0.00052,0.01997,0.00027,9e-05,10.7914,44.1058,2.32796,0.000483729,0.000483729,0.000483729
