epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,242.13,3.99837,6.08357,2.16576,0.28167,0.08261,0.02941,0.0108,5.48843,6.67769,2.95439,0.00467985,0.00467985,0.0921439
2,494.99,3.56493,4.82642,2.03974,0.10564,0.15721,0.06447,0.02374,4.42368,5.76467,2.35954,0.00914399,0.00914399,0.0840577
3,747.745,3.38903,4.56815,1.9674,0.26066,0.21004,0.11811,0.04063,3.52858,4.59279,2.02045,0.012756,0.012756,0.0751194
4,996.416,3.20947,4.34556,1.89957,0.27359,0.27246,0.1529,0.05818,3.14831,4.28508,1.91481,0.0150104,0.0150104,0.0648235
5,1210.69,3.01769,4.07322,1.81909,0.13776,0.22733,0.11463,0.04413,3.41317,5.11896,2.02761,0.015615,0.015615,0.0528778
6,1476.81,2.91358,3.94197,1.78493,0.19962,0.32519,0.18761,0.07621,2.90478,4.05265,1.83733,0.0145495,0.0145495,0.039262
7,1738.36,2.79899,3.77826,1.74047,0.17916,0.30802,0.16547,0.06408,3.04331,4.34854,1.85178,0.0120874,0.0120874,0.0242495
8,1970.39,2.70866,3.63301,1.69485,0.24995,0.33805,0.21751,0.08852,2.7862,3.92428,1.78398,0.00874142,0.00874142,0.00874142
9,2207.64,2.62067,3.51353,1.66714,0.24972,0.37085,0.24596,0.09873,2.73774,3.75423,1.77447,0.00475787,0.00475787,0.00475787
10,2454.9,2.5566,3.40882,1.6425,0.29108,0.3936,0.24938,0.09797,2.71202,3.73969,1.75304,0.00220027,0.00220027,0.00220027
